"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', ('Annotation Error',))","('Eval', ('Jaccard Index',))","('Eval', ('Rand Index',))","('Eval', ('event-based f1 under pa with mode log', 'f1'))","('Eval', ('event-based f1 under pa with mode log', 'precision'))","('Eval', ('event-based f1 under pa with mode log', 'recall'))","('Eval', ('best f1 under pa', 'f1'))","('Eval', ('best f1 under pa', 'precision'))","('Eval', ('best f1 under pa', 'recall'))","('Eval', ('Run Length MSE',))","('Eval', ('Run Length MSRE',))","('Eval', ('Detection Delay', 'delay_mean'))","('Eval', ('Detection Delay', 'delay_std'))","('Eval', ('Detection Delay', 'delay_pct(90)'))","('Eval', ('Detection Delay', 'delay_pct(70)'))","('Eval', ('Detection Delay', 'delay_pct(50)'))","('Eval', ('Detection Delay', 'delay_pct(30)'))","('Eval', ('Detection Delay', 'delay_pct(10)'))"
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_1,ChangePoint,No,0.0,0.9923178777867875,0.9961662132080138,0.013605694036222396,0.0068494436036105515,0.9999999999999989,0.013605694036222396,0.0068494436036105515,0.9999999999999989,80.60641025641026,8.875538080056248,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_1,ReportPoint,No,,,,,,,,,,,,54.8,0.0,54.8,54.8,54.8,54.8,54.8
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_1,RunLength,No,,,,,,,,,,80.28589743589744,8.861353873005744,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_2,ChangePoint,No,0.0,0.9805848926644471,0.9903081699098962,0.020051505150515028,0.010127293341579056,0.9999999999999989,0.020051505150515028,0.010127293341579056,0.9999999999999989,94.5549645390071,9.6040009166997,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_2,ReportPoint,No,,,,,,,,,,,,101.25,0.0,101.25,101.25,101.25,101.25,101.25
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_2,RunLength,No,,,,,,,,,,97.60460992907802,9.761330569747049,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_3,ChangePoint,No,1.0,0.4987927141351799,0.7480264940538913,0.01106213614500906,0.005561831469421211,0.9999999999999989,0.01106213614500906,0.005561831469421211,0.9999999999999989,16490.480000000003,128.4149673696658,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_3,ReportPoint,No,,,,,,,,,,,,186.2,0.0,186.2,186.2,186.2,186.2,186.2
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_3,RunLength,No,,,,,,,,,,16490.480000000003,128.4149673696658,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_4,ChangePoint,No,1.3333333333333333,0.49212724533753277,0.8076410268841968,0.11500977992090546,0.16862171769292503,0.7499999999999992,0.11500977992090546,0.16862171769292503,0.7499999999999992,15645.038821954484,123.79407051872722,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_4,ReportPoint,No,,,,,,,,,,,,145.58333333333334,31.280429629047262,181.26666666666665,160.46666666666667,137.83333333333334,118.3,116.10000000000001
Naive,BinSeg,TS4CD,AlanTuringTCPD,quality_control_4,RunLength,No,,,,,,,,,,15662.239625167334,123.9152286896278,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,rail_lines,ChangePoint,No,0.6,0.7767928071928072,0.9208708708708709,0.6952380952380941,0.8166666666666659,0.6999999999999995,0.6952380952380943,0.8166666666666659,0.6999999999999996,30.259459459459457,4.359693836078553,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,rail_lines,ReportPoint,No,,,,,,,,,,,,15.3,4.7,19.060000000000002,17.18,15.3,13.419999999999998,11.540000000000001
Naive,BinSeg,TS4CD,AlanTuringTCPD,rail_lines,RunLength,No,,,,,,,,,,30.77297297297297,4.595180194315539,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,ratner_stock,ChangePoint,No,3.4,0.6670888981266366,0.8924191750278707,0.011362477471026136,0.005716766895119091,0.9999999999999993,0.011362477471026136,0.005716766895119091,0.9999999999999993,11302.010367892977,106.2667592740078,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,ratner_stock,ReportPoint,No,,,,,,,,,,,,106.9,28.1,129.38000000000002,118.14000000000001,106.9,95.66,84.41999999999999
Naive,BinSeg,TS4CD,AlanTuringTCPD,ratner_stock,RunLength,No,,,,,,,,,,11223.473578595318,105.89425817562335,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,robocalls,ChangePoint,No,1.0,0.6144017857142857,0.8384238310708899,0.20833333333333298,0.12499999999999997,0.6249999999999998,0.20833333333333298,0.12499999999999997,0.6249999999999998,126.77884615384616,10.594337928638097,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,robocalls,ReportPoint,No,,,,,,,,,,,,32.25,11.25,41.25,36.75,32.25,27.75,23.25
Naive,BinSeg,TS4CD,AlanTuringTCPD,robocalls,RunLength,No,,,,,,,,,,122.75,10.482206071849095,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,run_log,ChangePoint,No,2.25,0.7885852580487989,0.9699286987522282,0.22222222222222188,0.8055555555555547,0.14930555555555552,0.22222222222222188,0.8055555555555547,0.14930555555555552,521.3493333333333,22.832864199377546,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,run_log,ReportPoint,No,,,,,,,,,,,,106.125,45.80285074965138,155.075,133.39999999999998,111.125,88.14999999999999,47.975
Naive,BinSeg,TS4CD,AlanTuringTCPD,run_log,RunLength,No,,,,,,,,,,541.8973333333333,23.27849685944125,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,scanline_126007,ChangePoint,No,5.75,0.642364268645512,0.9038082738620382,0.12671878245435128,0.09730456741326303,0.8511904761904756,0.1278033563227029,0.0979040763566007,0.8522727272727266,6732.788100208767,81.0860151352468,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,scanline_126007,ReportPoint,No,,,,,,,,,,,,117.1590909090909,19.149651467276698,137.875,125.225,117.375,106.875,97.325
Naive,BinSeg,TS4CD,AlanTuringTCPD,scanline_126007,RunLength,No,,,,,,,,,,6679.12630480167,80.79980623255763,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,scanline_42049,ChangePoint,No,1.4,0.7208452108959081,0.9481608301814275,0.20378510378510334,0.2685714285714285,0.20793650793650786,0.20158730158730115,0.2685714285714285,0.20571428571428566,2034.6768267223383,43.28889878155442,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,scanline_42049,ReportPoint,No,,,,,,,,,,,,72.54857142857142,52.22019973804576,126.85999999999999,115.94000000000001,60.9,34.919999999999995,16.7
Naive,BinSeg,TS4CD,AlanTuringTCPD,scanline_42049,RunLength,No,,,,,,,,,,2025.940292275574,43.27271668993706,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,seatbelts,ChangePoint,No,1.25,0.6741068759115117,0.8854439354275742,0.035365500463391965,0.018282770097286224,0.5416666666666665,0.035365500463391965,0.018282770097286224,0.5416666666666665,1426.9296875,37.77092987000065,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,seatbelts,ReportPoint,No,,,,,,,,,,,,79.33333333333333,52.63544861958895,121.65,103.44999999999999,85.25,59.949999999999996,34.65
Naive,BinSeg,TS4CD,AlanTuringTCPD,seatbelts,RunLength,No,,,,,,,,,,1440.2057291666667,37.947560957131884,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,shanghai_license,ChangePoint,No,0.8,0.6657038256465583,0.8739592388679609,0.14709149709149688,0.10694644054805016,0.9999999999999989,0.14709149709149688,0.10694644054805016,0.9999999999999989,1862.8666666666668,42.96535453451795,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,shanghai_license,ReportPoint,No,,,,,,,,,,,,58.8,3.2,61.36,60.08,58.8,57.52,56.239999999999995
Naive,BinSeg,TS4CD,AlanTuringTCPD,shanghai_license,RunLength,No,,,,,,,,,,1820.7617647058821,42.486569010332396,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,uk_coal_employ,ChangePoint,No,3.75,0.3371117372833866,0.8196657509157508,0.11470342120321489,0.06369199659429545,0.6833333333333331,0.11470342120321489,0.06369199659429545,0.6833333333333331,519.5928571428572,22.773134108677965,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,uk_coal_employ,ReportPoint,No,,,,,,,,,,,,55.65,24.00490458577964,82.07499999999999,70.475,56.375,41.1,29.2
Naive,BinSeg,TS4CD,AlanTuringTCPD,uk_coal_employ,RunLength,No,,,,,,,,,,532.1690476190477,23.04583562932279,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,unemployment_nl,ChangePoint,No,3.5,0.621049153711996,0.8847772167596775,0.0970097099387716,0.2679179385659774,0.7857142857142854,0.0970097099387716,0.2679179385659774,0.7857142857142854,2264.5727699530516,43.048679770552184,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,unemployment_nl,ReportPoint,No,,,,,,,,,,,,49.539682539682545,25.20498471014774,79.20000000000002,56.8,50.0,36.699999999999996,22.250000000000004
Naive,BinSeg,TS4CD,AlanTuringTCPD,unemployment_nl,RunLength,No,,,,,,,,,,2253.943661971831,43.02523307586528,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,usd_isk,ChangePoint,No,0.8,0.7545930688647644,0.9457574249211881,0.3863492063492058,0.4032258064516127,0.6166666666666664,0.3863492063492058,0.4032258064516127,0.6166666666666664,669.9219512195122,25.176187340178505,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,usd_isk,ReportPoint,No,,,,,,,,,,,,97.48333333333332,15.601099006425835,111.92,104.55999999999999,100.3,91.18,82.66
Naive,BinSeg,TS4CD,AlanTuringTCPD,usd_isk,RunLength,No,,,,,,,,,,654.1723577235773,24.897023846228613,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,us_population,ChangePoint,No,11.0,0.24167694204685575,0.7875638541483179,0.004273523785173243,0.0021413374417666264,0.9999999999999989,0.004273523785173243,0.0021413374417666264,0.9999999999999989,43356.46551724138,208.22189849988123,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,us_population,ReportPoint,No,,,,,,,,,,,,136.0,0.0,136.0,136.0,136.0,136.0,136.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,us_population,RunLength,No,,,,,,,,,,43019.443349753696,207.4110326474467,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,well_log,ChangePoint,No,5.2,0.7787493198736742,0.9618333510751544,0.056230109883011095,0.05048264620977472,0.7235294117647058,0.056230109883011095,0.05048264620977472,0.7235294117647058,2744.0020833333338,47.660610218600034,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,well_log,ReportPoint,No,,,,,,,,,,,,113.16720142602496,56.7742555743305,173.08,150.4,122.8,87.08,41.84
Naive,BinSeg,TS4CD,AlanTuringTCPD,well_log,RunLength,No,,,,,,,,,,2739.9964285714286,47.68193427415544,,,,,,,
Naive,BinSeg,TS4CD,Synthetic,Gradual,ChangePoint,No,2.0,0.6037221253831822,0.8457263915470205,0.003960396039603956,0.001984126984126984,0.9999999999999989,0.003960396039603956,0.001984126984126984,0.9999999999999989,63476.557673975214,251.94554505681424,,,,,,,
