"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', 'eval_item')","('Eval', 'value')"
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('Rand Index',)",0.9112676056338028
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.05194524291965565
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.02676901849727286
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.9999999999999998
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('best f1 under pa', 'f1')",0.05194524291965565
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('best f1 under pa', 'precision')",0.02676901849727286
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('best f1 under pa', 'recall')",0.9999999999999998
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('Run Length MSE',)",1142.4158878504672
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('Run Length MSRE',)",33.63553337675586
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_mean')",77.35333333333332
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_std')",32.04350474698206
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",112.72
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",92.61999999999999
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",71.9
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",58.56
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",46.04
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,RunLength,No,"('Run Length MSE',)",1143.0504672897198
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,RunLength,No,"('Run Length MSRE',)",33.654925671631595
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('Annotation Error',)",2.5
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('Jaccard Index',)",0.42988650642390414
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('Rand Index',)",0.8231330476360533
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.014355500740562365
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.007234134912706341
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.9999999999999992
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('best f1 under pa', 'f1')",0.014355500740562365
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('best f1 under pa', 'precision')",0.007234134912706341
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('best f1 under pa', 'recall')",0.9999999999999992
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('Run Length MSE',)",5075.598270440251
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ChangePoint,No,"('Run Length MSRE',)",70.24248969970782
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_mean')",38.375
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_std')",17.875
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",52.675
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",45.525
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",38.375
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",31.225
